Date	NVDAClose	Date	VGTClose
2/6/2019	3.825	2/6/2019	186.399994
2/5/2019	3.74875	2/5/2019	185.75
2/4/2019	3.7295	2/4/2019	184.229996
2/1/2019	3.61825	2/1/2019	181.380005
1/31/2019	3.59375	1/31/2019	180.160004
1/30/2019	3.43475	1/30/2019	179.789993
1/29/2019	3.29	1/29/2019	174.770004
1/28/2019	3.45025	1/28/2019	176.539993
1/25/2019	4.00375	1/25/2019	178.770004
1/24/2019	3.946	1/24/2019	176.039993
1/23/2019	3.73225	1/23/2019	174.25
1/22/2019	3.71925	1/22/2019	173.839996
1/18/2019	3.92325	1/18/2019	176.75
1/17/2019	3.793	1/17/2019	174.160004
1/16/2019	3.721	1/16/2019	172.839996
1/15/2019	3.74675	1/15/2019	172.660004
1/14/2019	3.761	1/14/2019	170.149994
1/11/2019	3.72075	1/11/2019	171.850006
1/10/2019	3.63075	1/10/2019	171.949997
1/9/2019	3.5645	1/9/2019	171.149994
1/8/2019	3.49575	1/8/2019	169.039993
1/7/2019	3.585	1/7/2019	167.429993
1/4/2019	3.40475	1/4/2019	165.580002
1/3/2019	3.19975	1/3/2019	158.679993
1/2/2019	3.4055	1/2/2019	166.929993
12/31/2018	3.3375	12/31/2018	166.830002
12/28/2018	3.34125	12/28/2018	165.169998
12/27/2018	3.27925	12/27/2018	165.509995
12/26/2018	3.3275	12/26/2018	164.160004
12/24/2018	3.177	12/24/2018	154.809998
12/21/2018	3.23925	12/21/2018	158.899994
12/20/2018	3.3775	12/20/2018	163.970001
12/19/2018	3.46275	12/19/2018	166.820007
12/18/2018	3.6735	12/18/2018	170.279999
12/17/2018	3.5895	12/17/2018	168.869995
12/14/2018	3.66125	12/14/2018	172.869995
12/13/2018	3.72225	12/13/2018	177
12/12/2018	3.7225	12/12/2018	177.630005
12/11/2018	3.70475	12/11/2018	176.050003
12/10/2018	3.7965	12/10/2018	175.970001
12/7/2018	3.69025	12/7/2018	173.669998
12/6/2018	3.95725	12/6/2018	179.889999
12/4/2018	3.92775	12/4/2018	179.350006
12/3/2018	4.251	12/3/2018	186.520004
11/30/2018	4.08575	11/30/2018	182.669998
11/29/2018	3.934	11/29/2018	180.880005
11/28/2018	4.00175	11/28/2018	182.320007
11/27/2018	3.84325	11/27/2018	176.169998
11/26/2018	3.82625	11/26/2018	176.029999
11/23/2018	3.625	11/23/2018	172.289993
11/21/2018	3.61775	11/21/2018	173.449997
11/20/2018	3.727	11/20/2018	172
11/19/2018	3.6175	11/19/2018	175.570007
11/16/2018	4.11075	11/16/2018	182.770004
11/15/2018	5.05975	11/15/2018	183.029999
11/14/2018	4.92975	11/14/2018	178.559998
11/13/2018	4.98275	11/13/2018	180.520004
11/12/2018	4.7385	11/12/2018	180.440002
11/9/2018	5.14175	11/9/2018	186.869995
11/8/2018	5.14975	11/8/2018	190.149994
11/7/2018	5.34475	11/7/2018	190.5
11/6/2018	5.2765	11/6/2018	185.190002
11/5/2018	5.29425	11/5/2018	184.070007
11/2/2018	5.373	11/2/2018	184.509995
11/1/2018	5.45275	11/1/2018	187.929993
10/31/2018	5.27075	10/31/2018	185.389999
10/30/2018	5.075	10/30/2018	180.970001
10/29/2018	4.6405	10/29/2018	178.679993
10/26/2018	4.95725	10/26/2018	181.679993
10/25/2018	5.196	10/25/2018	185.399994
10/24/2018	4.98525	10/24/2018	179.630005
10/23/2018	5.5265	10/23/2018	188.070007
10/22/2018	5.7805	10/22/2018	188.779999
10/19/2018	5.72925	10/19/2018	187.259995
10/18/2018	5.98825	10/18/2018	187.800003
10/17/2018	6.0765	10/17/2018	191.669998
10/16/2018	6.14575	10/16/2018	192.350006
10/15/2018	5.8845	10/15/2018	186.550003
10/12/2018	6.1635	10/12/2018	189.259995
10/11/2018	5.87825	10/11/2018	183.600006
10/10/2018	6.14225	10/10/2018	186.199997
10/9/2018	6.6385	10/9/2018	195.270004
10/8/2018	6.64425	10/8/2018	194.759995
10/5/2018	6.7465	10/5/2018	197.350006
10/4/2018	6.98225	10/4/2018	199.979996
10/3/2018	7.16825	10/3/2018	203.559998
10/2/2018	7.162	10/2/2018	202.669998
10/1/2018	7.234	10/1/2018	202.929993
9/28/2018	7.0255	9/28/2018	202.559998
9/27/2018	6.685	9/27/2018	201.660004
9/26/2018	6.673	9/26/2018	200.660004
9/25/2018	6.71025	9/25/2018	201.610001
9/24/2018	6.6425	9/24/2018	201.539993
9/21/2018	6.58625	9/21/2018	201.449997
9/20/2018	6.657	9/20/2018	201.770004
9/19/2018	6.7995	9/19/2018	199.610001
9/18/2018	6.7755	9/18/2018	200.600006
9/17/2018	6.84825	9/17/2018	199.289993
9/14/2018	6.91075	9/14/2018	202.350006
9/13/2018	6.7835	9/13/2018	202.160004
9/12/2018	6.705	9/12/2018	199.850006
9/11/2018	6.82	9/11/2018	200.240005
9/10/2018	6.86825	9/10/2018	198.979996
9/7/2018	6.7965	9/7/2018	198.25
9/6/2018	6.818	9/6/2018	198.860001
9/5/2018	6.9605	9/5/2018	199.929993
9/4/2018	7.0925	9/4/2018	203.089996
8/31/2018	7.017	8/31/2018	202.800003
8/30/2018	6.94525	8/30/2018	201.729996
8/29/2018	6.96225	8/29/2018	202.220001
8/28/2018	6.8595	8/28/2018	200.300003
8/27/2018	6.8975	8/27/2018	199.350006
8/24/2018	6.8055	8/24/2018	197.830002
8/23/2018	6.671	8/23/2018	195.589996
8/22/2018	6.5705	8/22/2018	194.970001
8/21/2018	6.333	8/21/2018	193.979996
8/20/2018	6.196	8/20/2018	193.559998
8/17/2018	6.1205	8/17/2018	193.740005
8/16/2018	6.436	8/16/2018	193.059998
8/15/2018	6.477	8/15/2018	191.880005
8/14/2018	6.53575	8/14/2018	193.589996
8/13/2018	6.403	8/13/2018	192.330002
8/10/2018	6.36975	8/10/2018	192.690002
8/9/2018	6.4115	8/9/2018	193.960007
8/8/2018	6.4605	8/8/2018	193.779999
8/7/2018	6.42375	8/7/2018	193.410004
8/6/2018	6.35075	8/6/2018	192.639999
8/3/2018	6.3025	8/3/2018	191.509995
8/2/2018	6.2655	8/2/2018	191.020004
8/1/2018	6.16175	8/1/2018	188.300003
7/31/2018	6.1215	7/31/2018	186.160004
7/30/2018	6.10325	7/30/2018	185.600006
7/27/2018	6.3005	7/27/2018	188.990005
7/26/2018	6.371	7/26/2018	192.740005
7/25/2018	6.29675	7/25/2018	193.410004
7/24/2018	6.21775	7/24/2018	190.660004
7/23/2018	6.23525	7/23/2018	190.949997
7/20/2018	6.27225	7/20/2018	190.199997
7/19/2018	6.30075	7/19/2018	190.330002
7/18/2018	6.2925	7/18/2018	190.529999
7/17/2018	6.34225	7/17/2018	190.639999
7/16/2018	6.205	7/16/2018	189.100006
7/13/2018	6.233	7/13/2018	189.759995
7/12/2018	6.28075	7/12/2018	190
7/11/2018	6.18825	7/11/2018	186.830002
7/10/2018	6.33125	7/10/2018	187.820007
7/9/2018	6.23125	7/9/2018	187.440002
7/6/2018	6.18325	7/6/2018	185.830002
7/5/2018	6.06825	7/5/2018	183.639999
7/3/2018	5.921	7/3/2018	181.259995
7/2/2018	6.056	7/2/2018	183.300003
6/29/2018	5.9225	6/29/2018	181.399994
6/28/2018	6.0215	6/28/2018	181.289993
6/27/2018	5.893	6/27/2018	179.729996
6/26/2018	6.04975	6/26/2018	182.529999
6/25/2018	5.978	6/25/2018	181.570007
6/22/2018	6.27375	6/22/2018	185.869995
6/21/2018	6.42775	6/21/2018	186.860001
6/20/2018	6.55775	6/20/2018	188.529999
6/19/2018	6.50425	6/19/2018	188.009995
6/18/2018	6.62725	6/18/2018	189.320007
6/15/2018	6.6315	6/15/2018	189.039993
6/14/2018	6.67275	6/14/2018	189.759995
6/13/2018	6.56	6/13/2018	188.75
6/12/2018	6.5645	6/12/2018	189.119995
6/11/2018	6.5155	6/11/2018	187.860001
6/8/2018	6.557	6/8/2018	187.880005
6/7/2018	6.5725	6/7/2018	187.850006
6/6/2018	6.62875	6/6/2018	190
6/5/2018	6.62675	6/5/2018	188.910004
6/4/2018	6.62125	6/4/2018	187.880005
6/1/2018	6.4405	6/1/2018	186.320007
5/31/2018	6.30475	5/31/2018	183.009995
5/30/2018	6.32475	5/30/2018	183.199997
5/29/2018	6.21475	5/29/2018	181.860001
5/25/2018	6.232	5/25/2018	182.889999
5/24/2018	6.19225	5/24/2018	182.850006
5/23/2018	6.1885	5/23/2018	182.979996
5/22/2018	6.0675	5/22/2018	181.580002
5/21/2018	6.106	5/21/2018	182.009995
5/18/2018	6.1485	5/18/2018	180.600006
5/17/2018	6.19275	5/17/2018	181.300003
5/16/2018	6.15025	5/16/2018	182.199997
5/15/2018	6.139	5/15/2018	181.25
5/14/2018	6.384	5/14/2018	182.839996
5/11/2018	6.36325	5/11/2018	183.070007
5/10/2018	6.50325	5/10/2018	183.600006
5/9/2018	6.3945	5/9/2018	181.440002
5/8/2018	6.26	5/8/2018	179.089996
5/7/2018	6.217	5/7/2018	178.410004
5/4/2018	5.9765	5/4/2018	176.880005
5/3/2018	5.82475	5/3/2018	173.610001
5/2/2018	5.65775	5/2/2018	173.070007
5/1/2018	5.6785	5/1/2018	173.020004
4/30/2018	5.6225	4/30/2018	170.960007
4/27/2018	5.65825	4/27/2018	171.639999
4/26/2018	5.6305	4/26/2018	172.369995
4/25/2018	5.4165	4/25/2018	168.940002
4/24/2018	5.53	4/24/2018	169.210007
4/23/2018	5.597	4/23/2018	172.470001
4/20/2018	5.71775	4/20/2018	173.190002
4/19/2018	5.726	4/19/2018	175.649994
4/18/2018	5.90925	4/18/2018	177.740005
4/17/2018	5.9385	4/17/2018	178.039993
4/16/2018	5.78725	4/16/2018	174.419998
4/13/2018	5.7875	4/13/2018	173.220001
4/12/2018	5.865	4/12/2018	173.910004
4/11/2018	5.656	4/11/2018	171.770004
4/10/2018	5.69775	4/10/2018	172.479996
4/9/2018	5.38525	4/9/2018	168.339996
4/6/2018	5.35625	4/6/2018	167.199997
4/5/2018	5.5345	4/5/2018	171.339996
4/4/2018	5.656	4/4/2018	170.619995
4/3/2018	5.63375	4/3/2018	168.389999
4/2/2018	5.52625	4/2/2018	166.880005
3/29/2018	5.78975	3/29/2018	171
3/28/2018	5.53375	3/28/2018	167.419998
3/27/2018	5.638	3/27/2018	169.089996
3/26/2018	6.112	3/26/2018	175.029999
3/23/2018	5.82425	3/23/2018	168.630005
